Series ID,Date,Team A,A_,B_,Team B
666722,5/12/2022,Evil Geniuses,0,2,Tundra Esports
666723,5/12/2022,OG,2,0,beastcoast
666724,5/12/2022,BOOM Esports,1,1,BetBoom Team
666738,5/12/2022,BetBoom Team,1,1,beastcoast
666744,5/12/2022,BOOM Esports,1,1,OG
666748,5/12/2022,Evil Geniuses,0,2,T1
666781,5/12/2022,Team Liquid,0,2,Thunder Awaken
666783,5/12/2022,Fnatic,0,2,Team Spirit
666784,5/12/2022,Gaimin Gladiators,1,1,TSM FTX
666834,5/12/2022,Fnatic,2,0,TSM FTX
666837,5/12/2022,Gaimin Gladiators,2,0,Team Spirit
666972,5/13/2022,BetBoom Team,1,1,Tundra Esports
666974,5/13/2022,OG,0,2,T1
666975,5/13/2022,BOOM Esports,1,1,beastcoast
666988,5/13/2022,OG,0,2,Tundra Esports
666989,5/13/2022,T1,1,1,beastcoast
666990,5/13/2022,BOOM Esports,1,1,Evil Geniuses
667037,5/13/2022,TSM FTX,1,1,Team Spirit
667039,5/13/2022,Fnatic,1,1,Team Liquid
667074,5/13/2022,Team Spirit,2,0,Thunder Awaken
667090,5/13/2022,Gaimin Gladiators,0,2,Team Liquid
667295,5/14/2022,BOOM Esports,1,1,T1
667296,5/14/2022,BetBoom Team,2,0,Evil Geniuses
667297,5/14/2022,Tundra Esports,2,0,beastcoast
667327,5/14/2022,Evil Geniuses,0,1,OG
667333,5/14/2022,BetBoom Team,2,0,T1
667334,5/14/2022,BOOM Esports,0,2,Tundra Esports
667375,5/14/2022,Fnatic,1,1,Thunder Awaken
667376,5/14/2022,TSM FTX,2,0,Team Liquid
667433,5/14/2022,Team Liquid,2,0,Team Spirit
667437,5/14/2022,Gaimin Gladiators,1,1,Thunder Awaken
667589,5/15/2022,BetBoom Team,0,2,OG
667590,5/15/2022,Evil Geniuses,1,1,beastcoast
667592,5/15/2022,T1,0,2,Tundra Esports
667641,5/15/2022,Fnatic,0,2,Gaimin Gladiators
667643,5/15/2022,TSM FTX,1,1,Thunder Awaken
667745,5/15/2022,Team Liquid,0,1,Team Spirit
667749,5/15/2022,TSM FTX,0,1,Thunder Awaken
667783,5/15/2022,TSM FTX,1,0,Team Spirit
667784,5/15/2022,Team Liquid,0,1,Thunder Awaken
667824,5/15/2022,Team Spirit,0,1,Thunder Awaken
667825,5/15/2022,TSM FTX,1,0,Team Liquid
668020,5/16/2022,Team Spirit,1,2,Tundra Esports
668051,5/16/2022,BetBoom Team,1,2,Thunder Awaken
668094,5/16/2022,OG,0,2,TSM FTX
668138,5/16/2022,Gaimin Gladiators,2,0,T1
668267,5/17/2022,Team Spirit,0,2,beastcoast
668295,5/17/2022,BetBoom Team,2,1,Team Liquid
668354,5/17/2022,BOOM Esports,0,2,OG
668524,5/18/2022,Fnatic,2,1,T1
668557,5/18/2022,Thunder Awaken,0,2,Tundra Esports
668626,5/18/2022,Gaimin Gladiators,0,2,TSM FTX
669060,5/20/2022,BetBoom Team,1,2,beastcoast
669098,5/20/2022,Fnatic,1,2,OG
669194,5/20/2022,Gaimin Gladiators,2,0,beastcoast
669374,5/21/2022,OG,2,0,Thunder Awaken
669427,5/21/2022,TSM FTX,2,1,Tundra Esports
669498,5/21/2022,Gaimin Gladiators,0,2,OG
669715,5/22/2022,OG,2,0,Tundra Esports
669760,5/22/2022,OG,3,1,TSM FTX
